address,network,amount_usd
0xd183f2bbf8b28d9fec8367cb06fe72b88778c86b,evm,91948005.2880065
0x407993575c91ce7643a4d4ccacc9a98c36ee1bbe,evm,86013864.1776904
0xe283d0e3b8c102badf5e8166b73e02d96d92f688,evm,73955431.935933
0x6a0b3611214d5001fa5efae91b7222a316c12b52,evm,52470237.8606195
0xc765bddb93b0d1c1a88282ba0fa6b2d00e3e0c83,evm,48146589.1987138
0x0c89c0407775dd89b12918b9c0aa42bf96518820,evm,31573577.0619086
0x73feaa1ee314f8c655e354234017be2193c9e24e,evm,29396394.6921159
0x10cfcd2b3e8c35b3bd36dfdbd0063829ea244e84,evm,21004601.7413365
0x4fd9f7c5ca0829a656561486bada018505dfcb5e,evm,20156317.0194327
0x5da5b71b88c42544b642d4ab781b30831edac341,evm,18134591.0751121
0x9442dad1df11c858a900f55291dc1cf645ff66df,evm,13546013.7431734
0x7ee058420e5937496f5a2096f04caa7721cf70cc,evm,10489118.6477675
0xd069a9e50e4ad04592cb00826d312d9f879ebb02,evm,10412814.5039732
0x71d058369d39a8488d8e9f5fd5b050610ca788c0,evm,9629499.50798868
0x59e984ae0841c7f0ce5439c7ad3e1d9d9a314857,evm,7480098.33566351
0x1942f331acc1f030621a8f71670cdeedd2744730,evm,7332942.87763067
0xe39eea4282a8f529d4960f6f24fd70ad17158475,evm,6791257.52797075
0x6dd7abf38c8ef825d5a9cbd3cbff20d2a944e469,evm,6780082.05275839
0x0d87c33fe32fb4b0615ee3cefff8a9725b5d9896,evm,6428051.40451005
0xdb2e9a3a222697b8c808fe04847bc5fdc43175f4,evm,6235618.18854072
0xb012163aa0bfc3b4858ce52a24a276306014c6c6,evm,5848722.2504379
0x65bb797c2b9830d891d87288f029ed8dacc19705,evm,5362421.84679194
0x0966602e47f6a3ca5692529f1d54ecd1d9b09175,evm,5292590.46421748
0x9026cd39017ad4e67d1b5ce1f0ac6b18d74db5de,evm,4904940.0689247
0x9b08d9e970ddaaa7519d7a1332496a64c2502a69,evm,4698282.87549214
0x7536592bb74b5d62eb82e8b93b17eed4eed9a85c,evm,4641454.8518113
0x05c150808eca812434d1110662b33ad1b8c8a2ca,evm,4507077.44608998
0xe7fec2271ddfb2234bb33ae5b50226846263e304,evm,4453765.79871789
0xadb4527f25042cf2b51a0a30ebbfd2c2654cc584,evm,4234980.12392084
0x88263ddbbab4236d4a5169b200f1cf5df08f8123,evm,4099268.21951719
0x055ab15f1e2e6b639959759592956f535fab16cc,evm,3879632.5007145
0x0b116c2963529b7f34dfa36642ba8f94cc8f5004,evm,3821642.16798909
0x41867cc58aece8b570ff1a2a8aa6149014d2a94c,evm,3636036.34942693
0xc7bfd896cc6a8bf1d09486dd08f590691b20c2ff,evm,3573370.18485134
0x1bb7d9df0cbd40a0d1775da221f961f5ccdc4fbf,evm,3566809.68273637
0xfb60997286a2f9de11f07360aa2a136f3610ee67,evm,3227165.19197693
0x60d910f9de5c6fd2171716042af2fd3d2aa9d942,evm,3200953.23273151
0x9dfd5044e673c5790b138a3fcf26925a33b9c9d6,evm,3024782.93347299
0x67db7a2017ebc10067304a56f616d5936b99722a,evm,2972757.69099959
0xe34bb624055b171d777eccbbfc3baaeeffbe432c,evm,2946025.7590672
0x40594ad3dcd834f49f45b61d3f143a9f6fef3d00,evm,2817988.19699178
0x5930976fc5eacccea648555cc12438a3278a9fbe,evm,2814358.84901795
0xd27301a265fdd7572b93a168f8507db084e5840e,evm,2812889.73868741
0xae7e6cabad8d80f0b4e1c4dde2a5db7201ef1252,evm,2792900.42360622
0x2d75058afba5e20aad843970a1dc3efbe894f0ec,evm,2731200.09365558
0x0a515ac284e3c741575a4fd71c27e377a19d5e6d,evm,2725015.72615746
0x1cf6ab396ea1bc043d23cdb1054f6fce18d1a832,evm,2589020.78010732
0x67b47e8f4edb2393bde0e995951459f7c329bf50,evm,2482131.79308039
0xf1f7f21e2ea80ab110d0f95faa64655688341990,evm,2471904.41575372
0x5ed0a7b6985a29f5ad259c352004025b4c121d5d,evm,2469300.57663088
0x81b6534f4f7ba45ecf98295cef1450b4a4fc81cd,evm,2419591.66944929
0x8655e5c4d701186d16765d1cdcef6d5287e4679a,evm,2414215.8456238
0x13d873246bb01c5c0528bc144da9d0732ccf31a2,evm,2299755.7121621
0xd34f9d1b649c7cd5efc355c1cb6b1a481234616d,evm,2257877.0818369
0xb47b790076050423888cde9ebb2d5cb86544f327,evm,2250521.86739749
0xd7c0c12c91750a6ef37580d44b0fd6af1068e615,evm,2215696.33756328
0x7fa4536b3e78643e027dc34bb5a055517b4d9096,evm,2145023.31182401
0x2e83c0fd0eaf57959cf47ee1a6e551fb9037295a,evm,2141071.318117
0xbdbad73d8c47a768da88dced68867b007e1f3022,evm,2104378.83439679
0xeb3a9c56d963b971d320f889be2fb8b59853e449,evm,2078146.53989865
0x6e690075eedbc52244dd4822d9f7887d4f27442f,evm,1983034.12233662
0xbb2bd754a45f400a01158a8b3c89de085d58abf1,evm,1944717.53230246
0x27a00c48ef44bc934640ce993fd4a7041c8f13e2,evm,1928070.5142125
0x5a69249fc1f24269913b21939c44eb24c194f058,evm,1894886.45390394
0xa27c2b2b439dea43b59060efd2d9820fbc812f97,evm,1840893.17191801
0xc5e4039b2a6517972244ac7b0b3ec46ee82917b9,evm,1839390.09514113
0x7d637a220d797fc32dca543bc5afc190314fa95f,evm,1818694.77810639
0x39e4fac1a21ae1d8c76b0ac52ac0417398fe738d,evm,1816117.48518114
0xf8d0d4e11298df0b63c3841681e73be54ac9f2df,evm,1800702.93631442
0x4304defc085f6380df4c818b1a9037ca3809f18a,evm,1769637.00370369
0x17e98a24f992bb7bcd62d6722d714a3c74814b94,evm,1754758.37064049
0x3f9458892fb114328bc675e11e71ff10c847f93b,evm,1732377.8653884
0x4500b8ea724a86248cd91d4d6f94208d184d8e66,evm,1716742.92463221
0x558bc7cbece9f1a63f72d9f3cbd59270b7426853,evm,1715465.20124984
0xdc4d9c44a0689f4d121b200cb532e69e6f4fb4b4,evm,1714127.4887807
0x5f96545b40177169e9c6c4a78662c98bc086107e,evm,1674990.13036258
0x1ddcc6e906ae54bbbf0c83c2bafcdbbd4322b807,evm,1663022.6991133
0xdb52402f58d15974027911d8e5c958737949dbaa,evm,1645909.28730693
0x777999be819ffecee44a995560a9d0e97780a30c,evm,1629381.35136488
0xa017679857e28c41178a115b0c303372ed439714,evm,1623787.80160344
0x8ad9cb111d886dbabbbf232c9a1339b13cb168f8,evm,1617221.00705628
0xd0b53c43d3e0b58909c38487aa0c3af7dfa2d8c0,evm,1551185.3663451
0x981b04cbdcee0c510d331fadc7d6836a77085030,evm,1541854.55090972
0xd8647c2e8ee29714ca82029b6d59c25ee851071d,evm,1527898.70396776
0x8f88d779694628a1b8205b4bb15459a2f14c178d,evm,1527507.10176262
0x563617b87d8bb3f2f14bb5a581f2e19f80b52008,evm,1499835.16686508
0x93da7794a98a27cf57cb1f58b36c229dd2eba5e1,evm,1497405.93005255
0x5a54ad9860b08aaee07174887f9ee5107b0a2e72,evm,1474917.42660384
0xfb0420c5e8a984173cf0e87a05b4bb6a13942782,evm,1435936.02998924
0x13e98112e1c67dbe684adf3aeb1c871f1fe6d1ac,evm,1394219.3901526
0x158485d899f0fb3e1a48bf772489b8e6c2449d5b,evm,1386379.19255616
0x5b5e94485c9628793b01a38762921dc37b6829b6,evm,1384575.67459475
0x8dfe5535576c720896e98b9c9dbaf81ee03ea903,evm,1372999.21988534
0xfa58bddff89f2360fd4bc9e3284ef0dedb4bae29,evm,1356347.58080499
0xeb2201be755923670c4863bb3f5f799fa7df9f51,evm,1351311.22057062
0x505d1180061727c59ce04e7acfc117283cf797f0,evm,1350179.35372529
0xec6baf1fbb865fd3ff3fc83a7b5262003d9ba8be,evm,1331273.29687625
0x63f6d9e7d3953106bcaf98832bd9c88a54afcc9d,evm,1324448.81277527
0x893f90ac0382cf7dc3f7d0f638632c166331b48a,evm,1268511.84883316
0x44277c73295149b7a28776d0de9d0ee1fafde6f8,evm,1211337.20305276
0x9fcc67d7db763787bb1c7f3bc7f34d3c548c19fe,evm,1199062.65919017
0x06f1de6909b8dd5fe28185f0de15043c0e1aa103,evm,1193150.85736082
0x8df7588304e3e2a408c6859a9cbb6b05ee1d4fa6,evm,1182109.64196255
0xd9d3dd56936f90ea4c7677f554dfefd45ef6df0f,evm,1174382.23819963
0xd7f771664541b3f647cba2be9ab1bc121beec913,evm,1164656.54530225
0x71f1158d76af5b6762d5ebcdee19105eab2c77d2,evm,1142687.28558221
0xfe88dab083964c56429baa01f37ec2265abf1557,evm,1128033.97253017
0x809604dc50a3bca149c2f90630d75da57b19eeea,evm,1061311.0084022
0xb69ee0f5ebb577bbf68f288c5a98ab2485d67199,evm,1058760.42758086
0xd06e8817b0c8a6714e8537047451aea7769d32fb,evm,1021076.29563213
0x0ed943ce24baebf257488771759f9bf482c39706,evm,1020676.75286295
0x6488cb046fe912a1b8e90ab330293c84bf247465,evm,1020000.81236285
0xde8ae8666fd29187bc1cc199d64183dbceffa447,evm,1019154.22945438
0x9669218e7fface40d78ff09c78aea5f4deb9ad4d,evm,1006367.88439598
0xb11236911edf800514a0212346866a6c5c86d198,evm,998507.320155554
0xcfc2e8b52ac1e78b2e42cb52a92e07deb3f8dcf6,evm,996962.647186079
0x8522582a7cb56ce8765c596f11dba0c9d37b31e0,evm,994066.421030714
0x768173fb11c28ab492989f6b0366817ab4bcee2a,evm,991984.078925906
0xac36b176c724b719be30f9a9d0cda2010af92bd4,evm,950266.429813949
0xa30c7b2e676be6b0c26d631c8161b62ebebc3cd2,evm,931693.543771842
0xe33e917b716d18a5bd10beffad27606cf0c0a2d0,evm,928623.842985348
0xb951679db9e0ca31059e7528a82a756ecb918519,evm,924966.653192671
0x7c94ea285ff338a7218582ce32218f6ac8c00c56,evm,920563.882960881
0x3f4d6bf08cb7a003488ef082102c2e6418a4551e,evm,919816.852072358
0x46a5bb65144d22f31b381ad60a9d31ad599188f3,evm,917014.851921415
0x73ec4dcb8b04a621506a1825bbcab3975247a47e,evm,907676.928432064
0x16ea1f673e01419ba9af51365b88138ac492489a,evm,905746.225419684
0x5831778dff002c4808c62f541fa8d61d0bbc3f18,evm,903047.627861013
0xe134a754345582b113962cfa51b0dc036a1b04c5,evm,880563.588917693
0xc5bc916018bcd3e386ddb85426752e3ac458fc47,evm,873771.059624998
0x7a983559e130723b70e45bd637773dbdfd3f71db,evm,868163.795533403
0x5a24b31701a88d377157a1ffb48687eb8e15a5cd,evm,857224.367158899
0x81035f2ca3da4e6be4f443391da9e4784c415d38,evm,849170.743232314
0xab545259a0b41ff7f3f9bf024073d0212a729902,evm,847609.182213074
0x0000000000000000000000000000000000000001,evm,839850.643744807
0xd2233e687088ad4abfbe6f637ca4e6b4af8f92d8,evm,835528.895618691
0xe9b20c345129d04393e2d7c5bbee083f7b18f582,evm,835405.733076667
0xeaed594b5926a7d5fbbc61985390baaf936a6b8d,evm,834016.988035745
0x3ddfa8ec3052539b6c9549f12cea2c295cff5296,evm,833148.265633358
0xa522ef4b332b366cd3dd40c5564ad9728459006f875572879e6bc7142eb356b1,aptos,832836.381332941
0xf4cbd9c5e45d5f8ccc257f7157db31abcf521539,evm,824458.778581296
0xc4218226a5406aa721eaebc2d9da9564aedd7777,evm,810634.498163727
0x5ab7c2381e7485f470104f8f2195452df238ec72,evm,806878.242731808
0x1289ef0995900f2c636d7f4353dfbc710f8762ef,evm,798269.08592968
0x42875ae5766dfd4d70772a3a956842e4b708d59a,evm,787861.001678923
0x4cfbc67571fd5960b080f68d364a825ff3d37c19,evm,786490.456483009
0xc51de9a00b9828dc68ef02c1d18b752069a07968,evm,785495.916493259
0x7b32f03c0d16041fcdf4066d2a3bcd2d979e6b2e,evm,783483.54232919
0x42565f5d8a3efc5c80bb7ac0f8f646a82d4b434f,evm,779862.381612227
0x469d342e4f3d9ffbedca2e2ca8ab268a6fe973c3,evm,777804.573777597
0x1df1bbb1a8803ba94295b70033a3720c482c2335,evm,773516.813308033
0x845dfc1dd076fdeda4a1ab473e55134ddf53bfaef25c055641f9c4831c05d644,aptos,747061.682980474
0xa3ce8f11cf241cb25f1fd1b3f770f0b9402cef0f,evm,742849.876284772
0x9dc426674c078fda2d8aee058be85560f8735cd6,evm,734561.764619769
0x5e7b048a6d9bd66f131d2bb0a50dbee775230316,evm,733787.142896893
0x59a8440fe4dd51f54f23b38628c76acf76fa12c9,evm,728602.80031143
0x7044c2cc5e5bbc0485db999ff834556527685985,evm,722629.36509826
0xa7c019b3b9698da78c68d33ac47b96c6907a0bfb,evm,707558.764706996
0x3a567303b207c6d906a8fcc380a2c307ece7051d,evm,706909.990712905
0x0cf4e7abe3b666010d9c93aa84696483884816b0,evm,702699.291771203
0xbededdf2ef49e87037c4fb2ca34d1ff3d3992a11,evm,698464.429616864
0xeee1e314eec2c3161cb2193e3d7d64b45d6c284e,evm,694944.985105427
0x4a8b77f8577a6943f0834ab614797f9e63c72b42,evm,694558.441110738
0xa0bf4d41f90f9019d4fd5a6a4fb3d52afed50639,evm,693133.068520999
0x2cb65436a0acbc46956c64e34cae045cdbea4b48,evm,689401.017479476
0x4c733359a195dd2e55170048986b7787b3b61576,evm,688907.328312782
0x5bcc44d6962ad2e35b54a8d0614f6307768d8eb1,evm,687423.637144881
0x770bdd792f6471eb28cbccd4f193bb26e8b5b07e,evm,685735.209781925
0xb8743fe14c16d2b3e1296e28ff7ed4b098cd49bf,evm,685037.30746527
0x45b05b87857a8da816220d34f9886011d5b8cd1e,evm,679681.847418507
0x831849c40b651f6e8c11108cf648f34a9c3add7a,evm,679661.21309062
0x2aa5d15eb36e5960d056e8fea6e7bb3e2a06a351,evm,677021.948906148
