address,network,weightage
0x4d37f2a705377ac4c0827b79a8a4b84267b03ea1,evm,0.00510372205838229
0xc72f3295b7fe847ec99e3a3c6dd6e90db5e1061b,evm,0.00489966453170174
0x3e8734ec146c981e3ed1f6b582d447dde701d90c,evm,0.00470348543526594
0x108557acdaeba3b8f9fe9bcb14a0863a455eaf2e6f3822f0d79863e83021a729,aptos,0.00318776294052438
0x5dc3f1bbd3e65c5f90b3799d5627a08a0b7347e3,evm,0.00304756204573494
0x7043e667ba37a4f95da28a66a8cbb2c57212719f,evm,0.00303802444965646
0x02ae19694820e922ea2697016e28937efbb94a3b1a92cda6f2f8be5df777a339,aptos,0.00301039448127915
0xc87a6cfe49a6dec2526eb45e731b481754703fc5565b9593b83f80cbf0ef5470,aptos,0.00291743339970966
0x46e666f06f98e176689dc39fcce3cf834f7a93a0216db97b367ae1b3c88d56d6,aptos,0.0028923772403156
0x45c2700a0b0e84fffffc74dbe4ca415bc940f93d,evm,0.00276350788260519
0x18f2ddece427e755c5f09fdd436875abcbb73f34,evm,0.00263905919986177
0x21ed9a8c6b0f6f81d30393ca69e73bd266fab2ff,evm,0.0023882480461021
0x9c235519ff9425dc0beea29952e0e9608e9256f0,evm,0.00227648054972057
0x9c65985219d3d1a29b32b909ad1d26aa427ed268,evm,0.00223612741235989
0x70a99c4127620129d0ca30827e0fc9b75ec2891b,evm,0.0021317321286028
0x8613f207708f9a840e4325ee1d6089576ea5168f,evm,0.00209490067887906
0x66b870ddf78c975af5cd8edc6de25eca81791de1,evm,0.00201788595952752
0x68656626d5ca1d81f2c6a421a4c49d4fc5c6ddfc6b8ce3bbc19d0f2618c6315d,aptos,0.00196275716574376
0xf4947ef564d992082d197296fbb8b6e19538880d,evm,0.00194020811396616
0x48a44fb575f33683f4c78a1c6dae6c8c3219ce99cd604e7febf2f3776cdd0c23,aptos,0.00190378766652752
0x768f2a7ccdfde9ebdfd5cea8b635dd590cb3a3f1,evm,0.00188398920707048
0xe3cb3dcfb4ae16f47a487a4d1fe7c4e5a745639d,evm,0.00187972943131874
0x240a7b31a390f25a32aa88cb81bfc91a6a28cd62,evm,0.0018756835340711
0x1e6b64e409de69217e97150256dcecfb0a38b569,evm,0.00181169517841055
